cryptocurrency_id,price_usd,market_cap,volume,date
4.0,571.03,83275300000.0,1241400000.0,2025-02-05
4.0,580.05,84578200000.0,471189000.0,2025-02-06
4.0,586.11,85563000000.0,1075490000.0,2025-02-07
4.0,586.11,85563000000.0,1075490000.0,2025-02-08
4.0,586.11,85563000000.0,1075490000.0,2025-02-09
4.0,605.28,88258100000.0,1516140000.0,2025-02-10
4.0,642.15,93682200000.0,1015890000.0,2025-02-11
4.0,649.63,94785800000.0,1303260000.0,2025-02-12
4.0,709.09,103405000000.0,3426390000.0,2025-02-13
4.0,670.68,97893000000.0,4528540000.0,2025-02-14
4.0,670.68,97893000000.0,4528540000.0,2025-02-15
4.0,670.68,97893000000.0,4528540000.0,2025-02-16
4.0,667.25,97356100000.0,1190120000.0,2025-02-17
4.0,654.93,95474500000.0,1079230000.0,2025-02-18
4.0,657.3,95894300000.0,1226110000.0,2025-02-19
4.0,650.87,94942400000.0,879996000.0,2025-02-20
4.0,663.31,96735600000.0,722908000.0,2025-02-21
4.0,663.31,96735600000.0,722908000.0,2025-02-22
4.0,663.31,96735600000.0,722908000.0,2025-02-23
4.0,638.47,93210300000.0,734289000.0,2025-02-24
4.0,607.14,88588300000.0,1881470000.0,2025-02-25
4.0,627.76,91604800000.0,1212860000.0,2025-02-26
4.0,615.6,89723400000.0,1573590000.0,2025-02-27
4.0,569.29,83025200000.0,1575080000.0,2025-02-28
4.0,569.29,83025200000.0,1575080000.0,2025-03-01
4.0,569.29,83025200000.0,1575080000.0,2025-03-02
4.0,604.71,88099500000.0,1773000000.0,2025-03-03
4.0,568.77,83109200000.0,1437380000.0,2025-03-04
4.0,603.1,88020100000.0,1068310000.0,2025-03-05
4.0,601.9,87808700000.0,814800000.0,2025-03-06
4.0,599.64,87538900000.0,883532000.0,2025-03-07
4.0,599.64,87538900000.0,883532000.0,2025-03-08
4.0,599.64,87538900000.0,883532000.0,2025-03-09
4.0,564.46,82276300000.0,1039960000.0,2025-03-10
4.0,558.43,81532700000.0,1881240000.0,2025-03-11
4.0,557.54,81366500000.0,1231960000.0,2025-03-12
4.0,581.45,84729600000.0,1171110000.0,2025-03-13
4.0,580.22,84579800000.0,1728900000.0,2025-03-14
4.0,580.22,84579800000.0,1728900000.0,2025-03-15
4.0,580.22,84579800000.0,1728900000.0,2025-03-16
4.0,637.48,92958800000.0,1557210000.0,2025-03-17
4.0,634.35,92555600000.0,1475790000.0,2025-03-18
4.0,618.09,90241600000.0,1100730000.0,2025-03-19
4.0,633.41,92378300000.0,1567980000.0,2025-03-20
4.0,634.59,92677400000.0,1247290000.0,2025-03-21
4.0,634.59,92677400000.0,1247290000.0,2025-03-22
4.0,634.59,92677400000.0,1247290000.0,2025-03-23
4.0,630.35,91998900000.0,723666000.0,2025-03-24
4.0,633.77,92377900000.0,1454750000.0,2025-03-25
4.0,631.75,92166500000.0,1072550000.0,2025-03-26
4.0,636.46,92799100000.0,1402200000.0,2025-03-27
4.0,628.44,91603400000.0,1690890000.0,2025-03-28
4.0,628.44,91603400000.0,1690890000.0,2025-03-29
4.0,628.44,91603400000.0,1690890000.0,2025-03-30
4.0,589.27,85876100000.0,781025000.0,2025-03-31
4.0,616.24,89787200000.0,916597000.0,2025-04-01
4.0,602.52,87863000000.0,1697680000.0,2025-04-02
4.0,598.5,87443300000.0,1864900000.0,2025-04-03
4.0,598.69,87394900000.0,785795000.0,2025-04-04
4.0,598.69,87394900000.0,785795000.0,2025-04-05
