cryptocurrency_id,price_usd,market_cap,volume,date
1.0,97864.0,1940960000000.0,63657400000.0,2025-02-05
1.0,99038.0,1960400000000.0,42439400000.0,2025-02-06
1.0,97683.0,1932660000000.0,46127900000.0,2025-02-07
1.0,97683.0,1932660000000.0,46127900000.0,2025-02-08
1.0,97683.0,1932660000000.0,46127900000.0,2025-02-09
1.0,97676.0,1937410000000.0,38859400000.0,2025-02-10
1.0,98094.0,1944580000000.0,28127900000.0,2025-02-11
1.0,95933.0,1903330000000.0,34216100000.0,2025-02-12
1.0,96199.0,1907000000000.0,48896100000.0,2025-02-13
1.0,97032.0,1923610000000.0,27336100000.0,2025-02-14
1.0,97032.0,1923610000000.0,27336100000.0,2025-02-15
1.0,97032.0,1923610000000.0,27336100000.0,2025-02-16
1.0,96124.0,1905070000000.0,18147300000.0,2025-02-17
1.0,95669.0,1896640000000.0,25687700000.0,2025-02-18
1.0,96302.0,1909470000000.0,37930500000.0,2025-02-19
1.0,97408.0,1930720000000.0,26182000000.0,2025-02-20
1.0,98634.0,1955270000000.0,30643300000.0,2025-02-21
1.0,98634.0,1955270000000.0,30643300000.0,2025-02-22
1.0,98634.0,1955270000000.0,30643300000.0,2025-02-23
1.0,95634.0,1896320000000.0,21642700000.0,2025-02-24
1.0,88208.0,1749130000000.0,66998900000.0,2025-02-25
1.0,89191.0,1769330000000.0,67971800000.0,2025-02-26
1.0,86978.0,1721940000000.0,334575000000.0,2025-02-27
1.0,79806.0,1586100000000.0,83708400000.0,2025-02-28
1.0,79806.0,1586100000000.0,83708400000.0,2025-03-01
1.0,79806.0,1586100000000.0,83708400000.0,2025-03-02
1.0,92529.0,1832140000000.0,76960800000.0,2025-03-03
1.0,83902.0,1663860000000.0,62749000000.0,2025-03-04
1.0,89845.0,1782220000000.0,60951100000.0,2025-03-05
1.0,91059.0,1806160000000.0,41074100000.0,2025-03-06
1.0,89086.0,1768400000000.0,60085000000.0,2025-03-07
1.0,89086.0,1768400000000.0,60085000000.0,2025-03-08
1.0,89086.0,1768400000000.0,60085000000.0,2025-03-09
1.0,82396.0,1632180000000.0,44977500000.0,2025-03-10
1.0,81833.0,1621500000000.0,61204000000.0,2025-03-11
1.0,82461.0,1636460000000.0,43621600000.0,2025-03-12
1.0,83143.0,1649930000000.0,34456900000.0,2025-03-13
1.0,83091.0,1647680000000.0,30226600000.0,2025-03-14
1.0,83091.0,1647680000000.0,30226600000.0,2025-03-15
1.0,83091.0,1647680000000.0,30226600000.0,2025-03-16
1.0,83326.0,1652910000000.0,24920600000.0,2025-03-17
1.0,82702.0,1641030000000.0,25004300000.0,2025-03-18
1.0,83759.0,1662890000000.0,21936100000.0,2025-03-19
1.0,85169.0,1689980000000.0,36698700000.0,2025-03-20
1.0,84055.0,1669220000000.0,24281400000.0,2025-03-21
1.0,84055.0,1669220000000.0,24281400000.0,2025-03-22
1.0,84055.0,1669220000000.0,24281400000.0,2025-03-23
1.0,87689.0,1740880000000.0,22585200000.0,2025-03-24
1.0,87333.0,1735690000000.0,31313700000.0,2025-03-25
1.0,88239.0,1750830000000.0,26869800000.0,2025-03-26
1.0,87325.0,1733140000000.0,22690600000.0,2025-03-27
1.0,84936.0,1684040000000.0,29425300000.0,2025-03-28
1.0,84936.0,1684040000000.0,29425300000.0,2025-03-29
1.0,84936.0,1684040000000.0,29425300000.0,2025-03-30
1.0,81489.0,1614930000000.0,20566500000.0,2025-03-31
1.0,84489.0,1673270000000.0,28590600000.0,2025-04-01
1.0,85029.0,1686580000000.0,25505900000.0,2025-04-02
1.0,83450.0,1658370000000.0,56229100000.0,2025-04-03
1.0,84610.0,1680320000000.0,37366000000.0,2025-04-04
1.0,84610.0,1680320000000.0,37366000000.0,2025-04-05
1.0,84610.0,1680320000000.0,37366000000.0,2025-04-06
1.0,76492.0,1520850000000.0,59830400000.0,2025-04-07
1.0,79050.0,1569610000000.0,68830400000.0,2025-04-08
1.0,77412.0,1536120000000.0,58037000000.0,2025-04-09
1.0,81928.0,1626120000000.0,73549200000.0,2025-04-10
1.0,82762.0,1642470000000.0,43226000000.0,2025-04-11
1.0,82762.0,1642470000000.0,43226000000.0,2025-04-12
1.0,82762.0,1642470000000.0,43226000000.0,2025-04-13
1.0,84627.0,1679510000000.0,30497900000.0,2025-04-14
1.0,85616.0,1699670000000.0,28550100000.0,2025-04-15
1.0,83678.0,1661270000000.0,26090700000.0,2025-04-16
1.0,83678.0,1661270000000.0,26090700000.0,2025-04-17
1.0,83678.0,1661270000000.0,26090700000.0,2025-04-18
1.0,83678.0,1661270000000.0,26090700000.0,2025-04-19
1.0,83678.0,1661270000000.0,26090700000.0,2025-04-20
1.0,87486.0,1736670000000.0,24787600000.0,2025-04-21
1.0,88509.0,1757410000000.0,36036500000.0,2025-04-22
1.0,93846.0,1864760000000.0,58976600000.0,2025-04-23
1.0,92441.0,1835230000000.0,37591800000.0,2025-04-24
1.0,93754.0,1861920000000.0,30045900000.0,2025-04-25
1.0,93754.0,1861920000000.0,30045900000.0,2025-04-26
1.0,93754.0,1861920000000.0,30045900000.0,2025-04-27
1.0,94716.0,1881500000000.0,19706400000.0,2025-04-28
1.0,94956.0,1886080000000.0,29538000000.0,2025-04-29
1.0,94913.0,1884770000000.0,22909400000.0,2025-04-30
1.0,94913.0,1884770000000.0,22909400000.0,2025-05-01
1.0,94913.0,1884770000000.0,22909400000.0,2025-05-02
1.0,94913.0,1884770000000.0,22909400000.0,2025-05-03
1.0,94913.0,1884770000000.0,22909400000.0,2025-05-04
1.0,94572.0,1878580000000.0,19517200000.0,2025-05-05
1.0,94145.0,1869800000000.0,19887300000.0,2025-05-06
1.0,96924.0,1925060000000.0,29535100000.0,2025-05-07
1.0,99763.0,1981370000000.0,73510200000.0,2025-05-08
1.0,102847.0,2042730000000.0,54322700000.0,2025-05-09
1.0,102847.0,2042730000000.0,54322700000.0,2025-05-10
1.0,102847.0,2042730000000.0,54322700000.0,2025-05-11
1.0,104440.0,2074480000000.0,30688700000.0,2025-05-12
1.0,103448.0,2054890000000.0,38768500000.0,2025-05-13
1.0,103580.0,2057630000000.0,32940900000.0,2025-05-14
1.0,103580.0,2057630000000.0,32940900000.0,2025-05-15
1.0,103733.0,2061040000000.0,31188400000.0,2025-05-16
1.0,103733.0,2061040000000.0,31188400000.0,2025-05-17
1.0,103733.0,2061040000000.0,31188400000.0,2025-05-18
1.0,102982.0,2045770000000.0,46716700000.0,2025-05-19
