id,cryptocurrency_id,date,price_usd,market_cap,volume,change,id_crypto,name
1,1,2025-02-05T12:03:40,97864.0,1940960000000.0,63657400000.0,-1.04809,1,bitcoin
2,2,2025-02-05T12:03:40,2780.5,335254000000.0,44211300000.0,1.02554,2,ethereum
3,3,2025-02-05T12:03:40,1.0,140531000000.0,107324000000.0,-0.0382997,3,tether
4,4,2025-02-05T12:03:40,571.03,83275300000.0,1241400000.0,-2.18004,4,binancecoin
5,1,2025-02-06T12:05:49,99038.0,1960400000000.0,42439400000.0,1.30476,1,bitcoin
6,2,2025-02-06T12:05:50,2825.73,340841000000.0,30540700000.0,1.55908,2,ethereum
7,3,2025-02-06T12:05:50,1.0,141226000000.0,81109200000.0,0.00366817,3,tether
8,4,2025-02-06T12:05:50,580.05,84578200000.0,471189000.0,1.49192,4,binancecoin
9,5,2025-02-06T12:05:50,1.0,55549000000.0,11227900000.0,0.004891,5,usd-coin
10,1,2025-02-07T12:17:58,97683.0,1932660000000.0,46127900000.0,-1.05685,1,bitcoin
11,2,2025-02-07T12:17:58,2753.45,331887000000.0,30198300000.0,-2.20739,2,ethereum
12,3,2025-02-07T12:17:59,1.0,141407000000.0,67820900000.0,-0.0100293,3,tether
13,4,2025-02-07T12:17:59,586.11,85563000000.0,1075490000.0,1.42295,4,binancecoin
14,5,2025-02-07T12:18:00,0.99999,55748100000.0,10904400000.0,0.00036223,5,usd-coin
15,6,2025-02-07T12:18:00,2.42,139975000000.0,6647130000.0,-0.823918,6,ripple
16,1,2025-02-10T12:07:28,97676.0,1937410000000.0,38859400000.0,0.769589,1,bitcoin
17,2,2025-02-10T12:07:28,2645.52,319102000000.0,20818800000.0,-0.773351,2,ethereum
18,3,2025-02-10T12:07:28,1.0,141636000000.0,68086500000.0,-0.00776147,3,tether
19,4,2025-02-10T12:07:29,605.28,88258100000.0,1516140000.0,-4.56891,4,binancecoin
20,5,2025-02-10T12:07:29,0.99995,56279300000.0,8631850000.0,-0.00503382,5,usd-coin
21,1,2025-02-11T12:41:21,98094.0,1944580000000.0,28127900000.0,0.254369,1,bitcoin
22,2,2025-02-11T12:41:22,2703.66,325800000000.0,17068900000.0,2.00886,2,ethereum
23,3,2025-02-11T12:41:22,1.0,141898000000.0,51473800000.0,-0.00367561,3,tether
24,4,2025-02-11T12:41:22,642.15,93682200000.0,1015890000.0,5.93322,4,binancecoin
25,5,2025-02-11T12:41:23,0.999951,56254000000.0,7688260000.0,0.000385933,5,usd-coin
26,1,2025-02-12T12:00:47,95933.0,1903330000000.0,34216100000.0,-2.11865,1,bitcoin
27,2,2025-02-12T12:00:47,2615.58,315352000000.0,17171900000.0,-3.1065,2,ethereum
28,3,2025-02-12T12:00:48,0.999969,141948000000.0,54998300000.0,-0.0184562,3,tether
29,4,2025-02-12T12:00:48,649.63,94785800000.0,1303260000.0,1.60773,4,binancecoin
