date,price_usd,market_cap,volume,change
2025-02-05,2780.5,335253784077.39465,44211255030.13295,1.025537304467083
2025-02-06,2825.73,340841336003.2557,30540688522.83085,1.559075889370964
2025-02-07,2753.45,331887370082.8697,30198318545.54788,-2.2073907313088066
2025-02-08,,,,
2025-02-09,,,,
2025-02-10,2645.52,319102473676.04456,20818821594.816456,-0.7733509680141786
2025-02-11,2703.66,325800495691.03674,17068929403.229237,2.0088568379250384
2025-02-12,2615.58,315352067238.8508,17171881914.033998,-3.106498070371272
2025-02-13,2679.83,323037837139.9875,27769327846.131817,2.463384806310697
2025-02-14,2704.94,326122579463.8859,17559256662.447,1.042517609619598
2025-02-15,,,,
2025-02-16,,,,
2025-02-17,2752.63,331974829105.1605,14533278396.552086,2.09651270984312
2025-02-18,2692.9,324614200449.1122,25577956635.68308,-1.9545626663375844
2025-02-19,2725.28,328481705964.394,20836208561.9872,1.1394723877740385
2025-02-20,2745.75,331033592851.4221,14125359027.92038,0.711788514977859
2025-02-21,2802.85,337858356234.45056,16710946595.666763,2.1080975277885186
2025-02-22,,,,
2025-02-23,,,,
2025-02-24,2680.45,323267815329.58453,24799825984.77345,-4.510716829345864
2025-02-25,2401.06,289726358639.9741,41239700923.42463,-10.45105188718041
2025-02-26,2491.87,300637052066.1863,27365899488.221203,4.369312703085053
2025-02-27,2377.17,286521952723.5145,101909571677.73895,-4.583596382103335
2025-02-28,2116.59,255432227101.33115,37218404655.705536,-10.944517566943333
2025-03-01,,,,
2025-03-02,,,,
2025-03-03,2358.78,283963197951.0251,41504567434.99206,5.09144983974534
2025-03-04,2100.57,253304662852.4517,35349230051.515884,-10.94692299294387
2025-03-05,2238.39,270197905528.29453,25760160737.106808,6.697617106181081
2025-03-06,2289.16,276006125328.0836,21007612543.43958,2.378332996104582
2025-03-07,2199.55,265576680817.52127,19761464515.859592,-4.282878676707152
2025-03-08,,,,
2025-03-09,,,,
2025-03-10,2100.85,253067780371.61783,25550985487.33852,-1.6417802050140806
2025-03-11,1923.9,231915496214.94955,41288234749.078606,-8.514946144257
2025-03-12,1899.7,229078719895.7804,28156722432.37488,-1.0381077233346787
2025-03-13,1900.39,229295869618.4625,20764072559.263123,-0.2559663297496958
2025-03-14,1900.08,229091434475.50974,16317743188.537329,0.3238096471325083
2025-03-15,,,,
2025-03-16,,,,
2025-03-17,1912.96,230683928072.7245,11257354315.84499,0.7450750255314833
2025-03-18,1895.38,228609300505.99216,11316923482.529596,-1.086807470671622
2025-03-19,2014.65,243187121230.8628,11133570469.889044,6.432269740045784
2025-03-20,1983.17,239260114496.78372,19149010859.99916,0.2345263111458691
2025-03-21,1965.2,237357651674.45703,10300386989.46099,-0.933024787543816
2025-03-22,,,,
2025-03-23,,,,
2025-03-24,2093.2,252648417316.16135,11612758176.93686,3.829117017597545
2025-03-25,2071.64,249690708580.915,12431746946.916224,-0.9958346094804126
2025-03-26,2074.17,250242595693.0189,11636570395.285055,0.1347134261438719
2025-03-27,2029.49,244835136286.88223,13364378752.787537,-2.1402609481765147
2025-03-28,1908.3,230059858694.72452,17091427490.414434,-5.915969469337962
2025-03-29,,,,
2025-03-30,,,,
2025-03-31,1786.15,215216625438.8541,13975375609.835709,-3.0940428556433237
2025-04-01,1884.87,227428003149.4348,16227606674.812893,5.422775687470771
2025-04-02,1878.86,226596653759.26715,15233187383.431316,-0.2122138046029357
2025-04-03,1811.55,218916065756.5948,25146583888.796463,-3.582471441762791
2025-04-04,1831.16,221110408435.9016,16744584731.289991,1.0604806413032142
2025-04-05,,,,
2025-04-06,,,,
2025-04-07,1493.13,180331232209.74725,39187888131.50325,-16.507506789694066
2025-04-08,1569.3,189500257930.5516,32539328688.98837,4.769384777976575
2025-04-09,1478.64,178389016549.04282,29589670757.61747,-5.690277236075991
2025-04-10,1601.01,193148159481.74545,35051788197.4019,8.231299927193536
2025-04-11,1572.74,189687802708.7547,20837871682.762707,-1.431865309688396
2025-04-12,,,,
2025-04-13,,,,
2025-04-14,1664.41,200681925232.1867,15039179284.238472,2.9725444113749977
2025-04-15,1630.81,197318994684.31592,10343619862.022432,-2.145147447287622
2025-04-16,1571.67,189655797707.5012,11990776653.931831,-4.51065509801374
2025-04-17,,,,
2025-04-18,,,,
2025-04-19,,,,
2025-04-20,,,,
2025-04-21,1642.59,198265377631.42075,10694104075.071917,3.2399272362105
2025-04-22,1625.19,196194923021.9132,15778368784.877825,-1.054102626389067
2025-04-23,1788.25,215920076888.71024,27470303849.074425,10.04116451441938
2025-04-24,1743.03,210410839225.56665,18439603514.090168,-2.498984466218821
2025-04-25,1784.39,215467801269.87708,13169399273.645647,2.2092836917274843
2025-04-26,,,,
2025-04-27,,,,
2025-04-28,1804.97,218131228311.97656,10616035456.120174,-0.3155191564771029
2025-04-29,1833.1,221310300061.42075,15853410544.83053,1.4179817918915745
2025-04-30,1806.17,218073165299.7168,11920397282.777563,-1.609501270450543
2025-05-01,,,,
2025-05-02,,,,
2025-05-03,,,,
2025-05-04,,,,
2025-05-05,1824.3,220235654381.89404,8433778748.770556,-0.148560660953969
2025-05-06,1794.59,216672102222.1824,9143684370.610714,-1.326780706557794
2025-05-07,1842.87,222500174266.8419,14331185408.859806,2.642458037477576
2025-05-08,1939.62,234090043840.8623,56195678949.91382,5.192255916009791
2025-05-09,2335.59,281427780600.9737,53106704191.27815,20.408675052794205
2025-05-10,,,,
2025-05-11,,,,
2025-05-12,2551.86,308075316601.99524,24139554520.313244,1.457262510255213
2025-05-13,2478.28,299415096053.1148,27742999526.5703,-3.1146285073539173
2025-05-14,2607.37,314888519013.16736,37612012145.1228,5.131975635294948
2025-05-15,,,,
2025-05-16,2609.87,315072843586.6768,25090773386.73681,2.822484147960852
2025-05-17,,,,
2025-05-18,,,,
2025-05-19,2403.73,290060362978.9706,32449051947.34624,-4.134956377365406
2025-05-20,2529.54,305343387274.5811,25337233401.69243,5.214778945254958
2025-05-21,2524.16,304712189018.6212,23052340015.51936,-0.1416150740363029
2025-05-22,2667.27,322106847942.3225,33927941105.84839,5.686080820575901
2025-05-23,2683.44,323935946475.5477,25084811263.64636,0.5901734117453463
2025-05-24,,,,
2025-05-25,,,,
2025-05-26,2566.14,309836687370.4885,13430750757.623426,2.969826162411535
2025-05-27,2634.46,318066583546.4859,18136566795.826107,2.6188823381505664
2025-05-28,2628.83,317678659451.4751,21686610352.576267,-0.2471714846259921
