date,price_usd,market_cap,volume,change
2025-02-05,1.0,140530714467.2199,107324444720.5239,-0.0382996880895882
2025-02-06,1.0,141226202324.4353,81109219902.7367,0.0036681699479431
2025-02-07,1.0,141406705240.11102,67820895220.69146,-0.0100292965599494
2025-02-08,,,,
2025-02-09,,,,
2025-02-10,1.0,141636113355.20483,68086535727.70368,-0.0077614691610947
2025-02-11,1.0,141897963340.44827,51473806597.73744,-0.0036756094892418
2025-02-12,0.999969,141947748272.55032,54998342757.93287,-0.0184562059354942
2025-02-13,1.0,141932927985.99435,80609970049.01634,0.0080525166344953
2025-02-14,1.0,141818483082.3435,31586809996.30553,0.0048196706307702
2025-02-15,,,,
2025-02-16,,,,
2025-02-17,0.999988,141994846323.96326,24057493830.03841,-0.0032777755980309
2025-02-18,0.999763,141729108142.32693,61720628047.02319,-0.0225380699584606
2025-02-19,0.999707,141736767687.06647,67733317280.89668,-0.0074148025079529
2025-02-20,1.0,141779593368.7403,38893298514.462,0.028924224910768
2025-02-21,1.0,142234642530.3252,30400127443.276184,0.0130117009246697
2025-02-22,,,,
2025-02-23,,,,
2025-02-24,1.0,142433378237.3166,56603478165.61392,0.0074430859728393
2025-02-25,0.999516,142281558150.63278,133364562169.20766,-0.0631670761001446
2025-02-26,0.999182,141987607812.21088,60189039565.78527,-0.0363778274406227
2025-02-27,0.999027,142164913465.04572,119208160613.53812,-0.0157463386467161
2025-02-28,0.999261,142087118295.65018,82225800872.13318,0.0234505027592084
2025-03-01,,,,
2025-03-02,,,,
2025-03-03,0.999681,142390757639.82065,143616283995.5698,0.0093052103946437
2025-03-04,0.999401,142423324792.81192,74701645536.39017,-0.0281668617520365
2025-03-05,0.999967,142490930181.16595,49585691963.43411,0.0566833315498542
2025-03-06,0.999944,142710367105.6733,79205242223.63272,-0.0027844032629902
2025-03-07,1.0,142805987063.27966,48682489578.97243,0.010768384343386
2025-03-08,,,,
2025-03-09,,,,
2025-03-10,0.99996,142794876183.24365,37841458934.79725,0.0270881710209442
2025-03-11,0.999795,142967259773.57144,51284873216.39079,-0.0165279222869649
2025-03-12,0.99985,143161002308.38605,63885659668.69149,0.0055239900794495
2025-03-13,0.999834,143321602205.49774,53923769968.33793,-0.0018112672873849
2025-03-14,0.999842,143323667470.82355,25109148195.449997,0.0004409621715832
2025-03-15,,,,
2025-03-16,,,,
2025-03-17,0.999912,143452343150.12573,23848898756.52237,-0.0106501823461043
2025-03-18,0.999877,143408007220.34778,41006493890.32762,-0.0012094603689244
2025-03-19,0.999828,143414851939.5071,40292744211.96785,-0.0048275608360629
2025-03-20,0.999621,143598964555.04852,50627780413.213486,-0.0267603254615551
2025-03-21,0.999544,143461612070.7986,23679953929.607143,-0.0076353013964833
2025-03-22,,,,
2025-03-23,,,,
2025-03-24,1.0,143495684815.98892,24013819359.271965,0.0291934379823627
2025-03-25,1.0,143783997839.1888,26643029796.18194,-0.0023095016416604
2025-03-26,1.0,144040290665.9588,30195835490.8587,0.010367555313259
2025-03-27,1.0,144187781864.6033,24007164936.80109,-0.0036793396900018
2025-03-28,0.999694,144138478658.74048,55260469556.32428,-0.0432396769155028
2025-03-29,,,,
2025-03-30,,,,
2025-03-31,0.999826,143912310391.26157,37761946913.37356,0.0102443152196745
2025-04-01,0.999945,143984834827.69952,27329990363.563656,0.0123375040220629
2025-04-02,0.999984,144030588910.34692,48161436176.98765,0.0142891342219237
2025-04-03,0.999923,144023838733.7602,87562171100.85185,-0.0058584854768814
2025-04-04,0.999885,144070866091.29398,59231892449.49597,-0.0033360604134406
2025-04-05,,,,
2025-04-06,,,,
2025-04-07,0.999363,144171999510.41254,74358660393.1485,-0.0122514122077292
2025-04-08,0.999707,144149920980.25677,62993119583.79984,0.0318943354439393
2025-04-09,0.99955,143949657638.10117,84331536504.6738,-0.0152989905875818
2025-04-10,0.999684,144325447228.5823,103648161628.747,0.0119496737739727
2025-04-11,0.999463,144268149587.08517,70781428312.02226,0.0072998573578127
2025-04-12,,,,
2025-04-13,,,,
2025-04-14,0.999806,144317397145.9104,53101421079.80291,0.0030939318960356
2025-04-15,0.999958,144334837326.72522,46832187346.16816,0.0162633748200456
2025-04-16,0.999973,144627874549.23044,36039791943.46938,0.0065763897599722
2025-04-17,,,,
2025-04-18,,,,
2025-04-19,,,,
2025-04-20,,,,
2025-04-21,1.0,144629979731.6231,19440653045.123302,0.0055103689582184
2025-04-22,0.999994,144724312523.29257,51329117406.99362,-0.0026308262664001
2025-04-23,1.0,145309634664.94617,48298094617.97757,0.0229391112392152
2025-04-24,1.0,145662663031.82935,42466596349.49965,-0.0117779858026254
2025-04-25,1.0,146047929538.47803,33981332136.57257,0.0136668425948569
2025-04-26,,,,
2025-04-27,,,,
2025-04-28,1.0,147293872037.6862,37877348325.39671,0.010473734245586
2025-04-29,1.0,148008138363.31738,31180703627.506653,-0.0054178644654406
2025-04-30,1.0,148441881817.3371,31969772913.12398,-0.0125892801366276
2025-05-01,,,,
2025-05-02,,,,
2025-05-03,,,,
2025-05-04,,,,
2025-05-05,1.0,149360378711.7665,20049164268.644382,-0.003782544692535
2025-05-06,0.999803,149329571607.80115,36044286346.14722,-0.0244871027700882
2025-05-07,0.999956,149423870621.2846,23974655437.12533,0.0134680080137677
2025-05-08,1.0,149520816209.7053,34538643159.9559,0.0137806550363071
2025-05-09,0.999989,149732058607.05075,54026472900.361374,-0.0120699950438785
2025-05-10,,,,
2025-05-11,,,,
2025-05-12,1.0,149980167477.95166,36143940347.473015,-0.0113759281561417
2025-05-13,1.0,150063810905.2432,90971039511.49222,0.0039817861699385
2025-05-14,0.99997,150335331734.96912,88287846504.14099,-0.0060628153386955
2025-05-15,,,,
2025-05-16,1.0,151082935001.02255,70705178876.62465,0.0077104772535791
2025-05-17,,,,
2025-05-18,,,,
2025-05-19,1.0,151383414222.08472,87950398812.26599,-9.532219736434716e-05
2025-05-20,1.0,151611276531.46698,68007952098.71116,0.000454805553168
2025-05-21,1.0,151625598807.23657,60758869459.60689,0.0090622701287446
2025-05-22,1.0,152405255002.76123,116236212426.71558,-0.0237281128588875
2025-05-23,0.999835,152466065912.3373,77410887209.87444,-0.0192725592438415
2025-05-24,,,,
2025-05-25,,,,
2025-05-26,1.0,152789162180.88113,39934566470.8209,0.02048179028673
2025-05-27,1.0,152796027677.23825,50826518464.1729,-0.0088724830998434
2025-05-28,1.0,152968719609.37103,57865357945.974304,0.0102227215648355
2025-05-29,1.0,152945441362.4282,64953419871.73637,-0.0142154684160346
2025-05-30,1.0,153124152506.80554,67206416718.73878,0.0005509665637882
2025-05-31,,,,
2025-06-01,,,,
2025-06-02,1.0,153200714725.93423,35709046938.44911,-0.0006944399141225
2025-06-03,1.0,153371849215.7297,23901720578.171875,0.0052577079260865
2025-06-04,1.0,153381053693.52808,43567793412.95095,0.0063071629584749
2025-06-05,1.0,153878040457.8532,32761252244.64304,-0.0150940865012782
2025-06-06,1.0,153881423046.18204,75269184148.567,0.0032106019472363
2025-06-07,,,,
2025-06-08,,,,
2025-06-09,1.0,154815368855.4738,35075213884.46504,0.0019378014045795
2025-06-10,1.0,155224265030.5207,43205696208.47142,-0.0114535483715764
2025-06-11,0.999996,155179670360.4816,33899124329.470776,-0.0218588429934268
2025-06-12,1.0,155193090654.35004,35736345487.295334,0.0034662304532314
2025-06-13,1.0,155246719730.75494,62204553961.05582,0.0310753293530946
2025-06-14,,,,
2025-06-15,,,,
2025-06-16,0.999982,155482985705.38705,21650188069.18821,-0.023189714965092
2025-06-17,,,,
2025-06-18,1.0,155573643880.5345,47484127639.88163,-0.0063182351667898
2025-06-19,1.0,155588873017.35608,39636801416.13845,0.0147728683595234
2025-06-20,1.0,155878632952.68668,20164124294.53308,-0.0126252190137742
